Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.32,1.99230769230769e-06,-8.9923076923077e-06,-4.83846153846153e-06,-5.26153846153847e-06,-5.96923076923076e-06,-7.52307692307693e-06,-1.05153846153846e-05,-1.41e-05,-2.55638461538462e-05,-2.40238461538462e-05,-1.44986153846154e-05,-1.61252307692308e-05,-1.62892307692308e-05,-9.21461538461539e-06,1.90071428571429e-05
0.33,1.99230769230769e-06,-8.9923076923077e-06,-4.83846153846153e-06,-5.26153846153847e-06,-5.97692307692308e-06,-7.52307692307691e-06,-1.05076923076923e-05,-1.41253846153846e-05,-2.56192307692308e-05,-2.40792307692308e-05,-1.45557692307692e-05,-1.6185e-05,-1.63430769230769e-05,-9.25461538461539e-06,1.90039285714286e-05
0.34,1.99230769230769e-06,-8.99999999999999e-06,-4.83076923076923e-06,-5.26923076923077e-06,-5.98461538461539e-06,-7.50769230769231e-06,-1.05153846153846e-05,-1.41546153846154e-05,-2.56769230769231e-05,-2.41330769230769e-05,-1.46150769230769e-05,-1.62441538461538e-05,-1.63976923076923e-05,-9.29461538461538e-06,1.90003571428571e-05
0.35,1.99230769230769e-06,-9.00769230769231e-06,-4.83076923076923e-06,-5.26923076923077e-06,-5.99230769230768e-06,-7.50000000000001e-06,-1.05153846153846e-05,-1.41969230769231e-05,-2.57353846153846e-05,-2.41869230769231e-05,-1.46764615384615e-05,-1.6302e-05,-1.64553846153846e-05,-9.33230769230769e-06,1.89967857142857e-05
0.36,1.99230769230769e-06,-8.99999999999999e-06,-4.83846153846154e-06,-5.27692307692308e-06,-5.98461538461537e-06,-7.4923076923077e-06,-1.05307692307692e-05,-1.424e-05,-2.57923076923077e-05,-2.42423076923077e-05,-1.47383076923077e-05,-1.63593846153846e-05,-1.65130769230769e-05,-9.37e-06,1.89935714285714e-05
0.37,1.99230769230769e-06,-9.00769230769231e-06,-4.83846153846153e-06,-5.27692307692308e-06,-5.9923076923077e-06,-7.48461538461539e-06,-1.05461538461538e-05,-1.429e-05,-2.58492307692308e-05,-2.42984615384615e-05,-1.48012307692308e-05,-1.64164615384615e-05,-1.65723076923077e-05,-9.40692307692308e-06,1.89910714285714e-05
0.38,1.98461538461539e-06,-9.00000000000001e-06,-4.83846153846153e-06,-5.2923076923077e-06,-5.98461538461539e-06,-7.47692307692308e-06,-1.05692307692308e-05,-1.43469230769231e-05,-2.59046153846154e-05,-2.43576923076923e-05,-1.48634615384615e-05,-1.6475e-05,-1.66292307692308e-05,-9.44461538461538e-06,1.89885714285714e-05
0.39,1.99230769230769e-06,-9.00769230769231e-06,-4.83846153846154e-06,-5.29230769230769e-06,-5.97692307692308e-06,-7.48461538461539e-06,-1.06e-05,-1.44023076923077e-05,-2.59592307692308e-05,-2.44184615384615e-05,-1.49249230769231e-05,-1.65343076923077e-05,-1.66861538461538e-05,-9.48153846153846e-06,1.89853571428571e-05
0.4,1.98461538461537e-06,-9.00769230769231e-06,-4.84615384615384e-06,-5.2923076923077e-06,-5.96923076923076e-06,-7.48461538461539e-06,-1.06384615384615e-05,-1.44630769230769e-05,-2.60130769230769e-05,-2.44823076923077e-05,-1.49849230769231e-05,-1.65950769230769e-05,-1.67407692307692e-05,-9.52e-06,1.89817857142857e-05
0.41,1.98461538461539e-06,-9.00769230769231e-06,-4.85384615384617e-06,-5.29230769230769e-06,-5.96153846153845e-06,-7.4923076923077e-06,-1.06846153846154e-05,-1.45215384615385e-05,-2.60684615384615e-05,-2.45453846153846e-05,-1.50458461538462e-05,-1.66564615384615e-05,-1.67946153846154e-05,-9.55923076923077e-06,1.89782142857143e-05
0.42,1.9923076923077e-06,-9.00769230769231e-06,-4.86153846153846e-06,-5.2923076923077e-06,-5.95384615384614e-06,-7.50769230769231e-06,-1.07307692307692e-05,-1.45846153846154e-05,-2.61246153846154e-05,-2.461e-05,-1.51059230769231e-05,-1.67194615384615e-05,-1.68469230769231e-05,-9.59846153846154e-06,1.89739285714286e-05
0.43,1.98461538461539e-06,-9.00769230769232e-06,-4.86153846153845e-06,-5.2923076923077e-06,-5.94615384615384e-06,-7.53076923076923e-06,-1.07846153846154e-05,-1.46415384615385e-05,-2.61838461538462e-05,-2.46738461538462e-05,-1.51672307692308e-05,-1.67812307692308e-05,-1.68992307692308e-05,-9.63923076923077e-06,1.89685714285714e-05
0.44,1.98461538461539e-06,-9.00769230769232e-06,-4.86923076923076e-06,-5.29230769230769e-06,-5.94615384615386e-06,-7.55384615384615e-06,-1.08461538461539e-05,-1.46946153846154e-05,-2.62453846153846e-05,-2.47361538461538e-05,-1.52299230769231e-05,-1.68416153846154e-05,-1.69523076923077e-05,-9.68230769230769e-06,1.89632142857143e-05
0.45,1.98461538461539e-06,-9.01538461538462e-06,-4.87692307692307e-06,-5.28461538461539e-06,-5.93846153846153e-06,-7.59230769230769e-06,-1.09076923076923e-05,-1.47515384615385e-05,-2.63092307692308e-05,-2.47984615384615e-05,-1.52935384615385e-05,-1.69010769230769e-05,-1.70061538461538e-05,-9.72692307692308e-06,1.89582142857143e-05
