Time,Roof,F15,F14,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2
0.22,-8.29230769230772e-06,-2.36615384615385e-05,-1.91384615384615e-05,-1.89615384615385e-05,-1.89153846153846e-05,-1.84384615384615e-05,-1.65346153846154e-05,-1.45907692307692e-05,-2.22776923076923e-05,-2.07092307692308e-05,-1.28236923076923e-05,-1.48170769230769e-05,-1.53046153846154e-05,-9.17615384615384e-06,1.77335714285714e-05
0.23,-8.29230769230772e-06,-2.36692307692307e-05,-1.91384615384615e-05,-1.89538461538462e-05,-1.89153846153846e-05,-1.84461538461539e-05,-1.65338461538462e-05,-1.45915384615385e-05,-2.22815384615385e-05,-2.07323076923077e-05,-1.28781538461538e-05,-1.48656923076923e-05,-1.53530769230769e-05,-9.21615384615385e-06,1.77314285714286e-05
0.24,-8.29230769230769e-06,-2.36615384615385e-05,-1.91461538461539e-05,-1.89538461538461e-05,-1.89153846153846e-05,-1.84461538461538e-05,-1.65346153846154e-05,-1.45930769230769e-05,-2.22884615384615e-05,-2.07623076923077e-05,-1.29344615384615e-05,-1.49116923076923e-05,-1.54046153846154e-05,-9.25538461538462e-06,1.77285714285714e-05
0.25,-8.29230769230772e-06,-2.36692307692307e-05,-1.91461538461539e-05,-1.89538461538462e-05,-1.89230769230769e-05,-1.84384615384615e-05,-1.65369230769231e-05,-1.45961538461538e-05,-2.22976923076923e-05,-2.07992307692308e-05,-1.29916153846154e-05,-1.49568461538462e-05,-1.54576923076923e-05,-9.29307692307692e-06,1.77242857142857e-05
0.26,-8.30000000000001e-06,-2.36692307692308e-05,-1.91384615384615e-05,-1.89615384615385e-05,-1.89153846153846e-05,-1.84461538461539e-05,-1.65369230769231e-05,-1.45992307692308e-05,-2.23107692307692e-05,-2.08430769230769e-05,-1.30470769230769e-05,-1.50029230769231e-05,-1.55123076923077e-05,-9.32923076923077e-06,1.772e-05
0.27,-8.30000000000001e-06,-2.36692307692307e-05,-1.91384615384616e-05,-1.89615384615385e-05,-1.89230769230769e-05,-1.84461538461539e-05,-1.65346153846154e-05,-1.46023076923077e-05,-2.233e-05,-2.08930769230769e-05,-1.30993076923077e-05,-1.50514615384615e-05,-1.55661538461538e-05,-9.36615384615385e-06,1.77164285714286e-05
0.28,-8.30000000000001e-06,-2.36692307692307e-05,-1.91461538461539e-05,-1.89615384615385e-05,-1.89230769230769e-05,-1.84384615384615e-05,-1.65430769230769e-05,-1.46076923076923e-05,-2.23538461538462e-05,-2.09484615384615e-05,-1.31482307692308e-05,-1.51025384615385e-05,-1.56192307692308e-05,-9.40461538461539e-06,1.77128571428571e-05
0.29,-8.29999999999998e-06,-2.36692307692308e-05,-1.91461538461539e-05,-1.89615384615385e-05,-1.89230769230769e-05,-1.84384615384615e-05,-1.65469230769231e-05,-1.46138461538462e-05,-2.23861538461538e-05,-2.10046153846154e-05,-1.31956923076923e-05,-1.51573846153846e-05,-1.56707692307692e-05,-9.44384615384616e-06,1.77089285714286e-05
0.3,-8.30769230769231e-06,-2.36692307692308e-05,-1.91461538461538e-05,-1.89615384615385e-05,-1.89230769230769e-05,-1.84461538461538e-05,-1.65476923076923e-05,-1.46230769230769e-05,-2.24253846153846e-05,-2.10615384615385e-05,-1.32416153846154e-05,-1.52137692307692e-05,-1.57215384615385e-05,-9.48461538461539e-06,1.77053571428571e-05
0.31,-8.30769230769231e-06,-2.36769230769231e-05,-1.91461538461539e-05,-1.89615384615385e-05,-1.89230769230769e-05,-1.84461538461538e-05,-1.65538461538462e-05,-1.46361538461538e-05,-2.24707692307692e-05,-2.11169230769231e-05,-1.32891538461538e-05,-1.52716153846154e-05,-1.57707692307692e-05,-9.52692307692308e-06,1.77025e-05
0.32,-8.30769230769231e-06,-2.36769230769231e-05,-1.91461538461539e-05,-1.89692307692308e-05,-1.89230769230769e-05,-1.84461538461539e-05,-1.65569230769231e-05,-1.46546153846154e-05,-2.25215384615385e-05,-2.117e-05,-1.33393076923077e-05,-1.53276153846154e-05,-1.58230769230769e-05,-9.56846153846154e-06,1.77e-05
0.33,-8.30769230769231e-06,-2.36769230769231e-05,-1.91461538461539e-05,-1.89692307692308e-05,-1.89230769230769e-05,-1.84538461538461e-05,-1.65638461538462e-05,-1.468e-05,-2.25761538461538e-05,-2.122e-05,-1.33925384615385e-05,-1.53836153846154e-05,-1.58753846153846e-05,-9.61e-06,1.76971428571429e-05
0.34,-8.31538461538464e-06,-2.36769230769231e-05,-1.91461538461538e-05,-1.89692307692308e-05,-1.89230769230769e-05,-1.84538461538462e-05,-1.65753846153846e-05,-1.47123076923077e-05,-2.26323076923077e-05,-2.12692307692308e-05,-1.34483076923077e-05,-1.54370769230769e-05,-1.59307692307692e-05,-9.64923076923076e-06,1.76932142857143e-05
